name,team,image,battingStyle,bowlingStyle,playingRole
Abhishek Sharma,SRH,,Left hand Bat,Slow Left arm Orthodox,Allrounder
Travis Head,SRH,,Left hand Bat,Right arm Offbreak,Top order Batter
Rahul Tripathi,SRH,,Right hand Bat,Right arm Medium,Top order Batter
Aiden Markram,SRH,,Right hand Bat,Right arm Offbreak,Opening Batter
Nitish Kumar Reddy,SRH,,Right hand Bat,Right arm Medium fast,Batting Allrounder
Heinrich Klaasen,SRH,,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shahbaz Ahmed,SRH,,Left hand Bat,Slow Left arm Orthodox,Allrounder
Abdul Samad,SRH,,Right hand Bat,Legbreak,Batter
Pat Cummins(c),SRH,,Right hand Bat,Right arm Fast,Bowler
Jaydev Unadkat,SRH,,Right hand Bat,Left arm Medium,Bowler
Bhuvneshwar Kumar,SRH,,Right hand Bat,Right arm Medium,Bowler
T Natarajan,SRH,,Left hand Bat,Left arm Medium,Bowler
Rahmanullah Gurbaz,KKR,,Right hand Bat,,Wicketkeeper Batter
Sunil Narine,KKR,,Left hand Bat,Right arm Offbreak,Bowling Allrounder
Venkatesh Iyer,KKR,,Left hand Bat,Right arm Medium,Allrounder
Shreyas Iyer(c),KKR,,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter
Mitchell Starc,KKR,,Left hand Bat,Left arm Fast,Bowler
Vaibhav Arora,KKR,,Right hand Bat,Right arm Fast medium,Bowler
Harshit Rana,KKR,,Right hand Bat,Right arm Fast,Bowler
Andre Russell,KKR,,Right hand Bat,Right arm Fast,Allrounder
Phil Salt,KKR,,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Nitish Rana,KKR,,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter
Rinku Singh,KKR,,Left hand Bat,Right arm Offbreak,Middle order Batter
Ramandeep Singh,KKR,,Right hand Bat,Right arm Medium,Middle order Batter
KL Rahul(c),LSG,,Right hand Bat,,Wicketkeeper Batter
Devdutt Padikkal,LSG,,Left hand Bat,Right arm Offbreak,Top order Batter
Marcus Stoinis,LSG,,Right hand Bat,Right arm Medium,Batting Allrounder
Deepak Hooda,LSG,,Right hand Bat,Right arm Offbreak,Allrounder
Nicholas Pooran,LSG,,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Arshad Khan,LSG,,Left hand Bat,Left arm Medium,Bowler
Ayush Badoni,LSG,,Right hand Bat,Right arm Offbreak,Batter
Krunal Pandya,,,Left hand Bat,Slow Left arm Orthodox,Allrounder
Mohsin Khan,LSG,,Left hand Bat,Left arm Medium fast,Bowler
Matt Henry,LSG,,Right hand Bat,Right arm Fast medium,Bowler
Naveen-ul-Haq,LSG,,Right hand Bat,Right arm Medium fast,Bowler
Ravi Bishnoi,LSG,,Right hand Bat,Legbreak Googly,Bowler
Rohit Sharma,MI,,Right hand Bat,Right arm Offbreak,Top order Batter
